iter	Passed	Remaining
0	150	150042
1	157	78356
2	167	55792
3	176	43864
4	186	37040
5	193	32000
6	201	28640
7	214	26549
8	222	24497
9	231	22875
10	241	21725
11	252	20783
12	263	20037
13	272	19178
14	281	18514
15	288	17746
16	299	17318
17	310	16916
18	319	16515
19	331	16227
20	341	15924
21	351	15617
22	361	15336
23	369	15008
24	377	14727
25	385	14445
26	393	14173
27	417	14506
28	448	15030
29	459	14858
30	472	14784
31	480	14540
32	485	14234
33	490	13949
34	495	13672
35	500	13410
36	507	13197
37	511	12946
38	515	12701
39	524	12585
40	529	12374
41	541	12347
42	551	12275
43	560	12180
44	566	12018
45	579	12026
46	587	11908
47	593	11773
48	602	11686
49	608	11564
50	614	11438
51	621	11330
52	629	11243
53	637	11173
54	644	11077
55	650	10965
56	655	10846
57	661	10741
58	666	10636
59	672	10528
60	678	10444
61	685	10366
62	692	10297
63	699	10236
64	706	10166
65	712	10089
66	724	10095
67	729	10003
68	736	9942
69	742	9870
70	748	9788
71	754	9723
72	759	9640
73	766	9589
74	771	9509
75	776	9442
76	782	9380
77	789	9332
78	795	9278
79	802	9232
80	810	9200
81	821	9192
82	833	9212
83	842	9191
84	852	9176
85	862	9163
86	869	9126
87	879	9119
88	885	9064
89	894	9045
90	899	8989
91	905	8933
92	911	8884
93	915	8824
94	920	8770
95	924	8708
96	929	8649
97	933	8593
98	937	8533
99	941	8477
100	946	8428
101	952	8389
102	959	8357
103	967	8332
104	972	8289
105	980	8272
106	985	8226
107	992	8195
108	996	8145
109	1000	8096
110	1005	8055
111	1012	8023
112	1016	7979
113	1022	7944
114	1027	7910
115	1032	7871
116	1037	7833
117	1042	7793
118	1047	7755
119	1052	7721
120	1057	7682
121	1061	7642
122	1068	7615
123	1076	7605
124	1083	7581
125	1091	7568
126	1096	7540
127	1104	7521
128	1109	7492
129	1115	7466
130	1122	7447
131	1130	7433
132	1156	7535
133	1162	7514
134	1171	7506
135	1176	7476
136	1184	7464
137	1191	7441
138	1196	7408
139	1202	7385
140	1209	7369
141	1221	7378
142	1227	7354
143	1233	7334
144	1239	7306
145	1243	7276
146	1249	7248
147	1255	7225
148	1260	7197
149	1266	7178
150	1272	7157
151	1277	7127
152	1284	7108
153	1291	7092
154	1295	7063
155	1301	7043
156	1307	7019
157	1312	6994
158	1319	6977
159	1323	6950
160	1328	6924
161	1334	6905
162	1340	6883
163	1345	6860
164	1362	6896
165	1367	6871
166	1372	6848
167	1378	6825
168	1384	6807
169	1389	6783
170	1394	6762
171	1400	6742
172	1406	6723
173	1412	6706
174	1417	6683
175	1422	6659
176	1427	6639
177	1433	6621
178	1442	6614
179	1449	6605
180	1460	6608
181	1467	6595
182	1477	6594
183	1484	6584
184	1493	6579
185	1501	6571
186	1514	6583
187	1529	6604
188	1537	6597
189	1546	6592
190	1556	6592
191	1566	6592
192	1579	6604
193	1589	6605
194	1600	6607
195	1610	6606
196	1623	6616
197	1632	6613
198	1641	6608
199	1651	6604
200	1659	6598
201	1670	6600
202	1680	6598
203	1690	6595
204	1699	6592
205	1709	6589
206	1719	6587
207	1738	6618
208	1744	6600
209	1750	6586
210	1756	6568
211	1760	6544
212	1769	6536
213	1774	6518
214	1780	6501
215	1786	6483
216	1791	6465
217	1799	6455
218	1806	6443
219	1817	6444
220	1824	6430
221	1834	6427
222	1840	6411
223	1846	6395
224	1853	6384
225	1858	6364
226	1866	6354
227	1870	6334
228	1875	6315
229	1883	6305
230	1889	6288
231	1895	6275
232	1902	6264
233	1907	6244
234	1913	6230
235	1921	6220
236	1927	6206
237	1936	6200
238	1944	6191
239	1952	6181
240	1957	6166
241	1965	6155
242	1970	6137
243	1975	6120
244	1980	6103
245	1986	6088
246	1997	6089
247	2002	6073
248	2008	6057
249	2016	6048
250	2022	6034
251	2029	6022
252	2034	6008
253	2040	5994
254	2046	5978
255	2053	5966
256	2060	5955
257	2066	5941
258	2070	5924
259	2077	5913
260	2083	5899
261	2089	5886
262	2096	5875
263	2101	5859
264	2107	5845
265	2112	5828
266	2116	5810
267	2121	5795
268	2129	5786
269	2136	5776
270	2142	5762
271	2148	5749
272	2155	5739
273	2160	5724
274	2166	5710
275	2173	5700
276	2180	5690
277	2184	5674
278	2191	5662
279	2196	5647
280	2201	5634
281	2208	5623
282	2214	5610
283	2222	5603
284	2228	5589
285	2233	5575
286	2240	5565
287	2246	5552
288	2251	5538
289	2255	5522
290	2260	5507
291	2267	5497
292	2271	5480
293	2276	5466
294	2282	5454
295	2287	5441
296	2294	5431
297	2303	5425
298	2308	5412
299	2317	5406
300	2322	5392
301	2327	5380
302	2335	5372
303	2342	5363
